"Story","Title","Result","Date","Stability","Duration (s)"
"To Test Admin menu Organisation unit in Organisation Option","To Test Admin menu Organisation unit in Organisation Option","SUCCESS","2023-11-20T17:55:11.7878026+05:30[Asia/Calcutta]","0.0","168.7"
"To Test Admin menu User Groups in Organisation Option","To Test Admin menu User Groups in Organisation Option","SUCCESS","2023-11-20T17:59:55.4829164+05:30[Asia/Calcutta]","0.0","101.56"
"To Test Admin menu Business Entities in Organisation Option","To Test Admin menu Business Entities in Organisation Option","SUCCESS","2023-11-20T18:01:38.1468682+05:30[Asia/Calcutta]","0.0","97.38"
"To Test Admin menu Indicator Statements in Risk Framework option","To Test Admin menu Indicator Statements New Standard Statement in Risk Framework option","SUCCESS","2023-11-20T18:03:16.5013073+05:30[Asia/Calcutta]","0.0","107.56"
"To Test Admin menu Indicator Statements in Risk Framework option","To Test Admin menu Indicator Statements New Register Statement in Risk Framework option","SUCCESS","2023-11-20T18:06:18.0835771+05:30[Asia/Calcutta]","0.0","103.94"
"To Test Admin menu Risk Map builder in Risk Framework option","To Test Admin menu Risk Map builder in Risk Framework option","SUCCESS","2023-11-20T18:08:02.983289+05:30[Asia/Calcutta]","0.0","117.29"
"To Test Admin menu Questionnaires in Risk Framework option","To Test Admin menu Questionnaires in Risk Framework option","SUCCESS","2023-11-20T18:10:01.3951295+05:30[Asia/Calcutta]","0.0","126.4"
"To Test Admin menu Requirements in Task Admin Option","To Test Admin menu Requirements in Task Admin Optionn","SUCCESS","2023-11-20T18:12:08.9999439+05:30[Asia/Calcutta]","0.0","114.71"
"To test the issue wrappers functionality","To test the issue wrappers functionality","SUCCESS","2023-11-20T18:17:09.9332106+05:30[Asia/Calcutta]","0.0","172.46"
"To Test Assets Functionality in Libraries","To Test Assets Functionality in Libraries","SUCCESS","2023-11-20T18:22:26.6631076+05:30[Asia/Calcutta]","0.0","132.13"
"To Test Libraries indicator functioinality","To Test Libraries indicator functioinality","SUCCESS","2023-11-20T18:25:58.4621307+05:30[Asia/Calcutta]","0.0","169.42"
